codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,titulo_ficha,url_busqueda,url_ficha,codigo_buscado,product_id,ficha_anio,imagenes_posibles,imagen_producto
60053,BIELETA,CITROEN,DS3,09>…,DEL DER IZQ,5087.62,R 10X1.5 EC 335mm,5087.62,DEL DER IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60053,https://tiper.com.ar/web/product-info.php?brand=115&model=99&product=373,60053,,09>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558974842-56175.png,https://tiper.com.ar/web/uploads/productos/1558974842-56175.png
60053,BIELETA,CITROEN,DS6,11>…,DEL DER>IZQ,5087.62,,5087.62,DEL DER>IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60053,https://tiper.com.ar/web/product-info.php?brand=117&model=99&product=378,60053,,11>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/nophoto.jpg | https://tiper.com.ar/web/pics/tiper.png,
60053,BIELETA,CITROEN,DS4,11>…,DEL DER IZQ,5087.62,R 10X1.5 EC 335mm,5087.62,DEL DER IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60053,https://tiper.com.ar/web/product-info.php?brand=480&model=99&product=2054,60053,,11>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558975292-88530.png,https://tiper.com.ar/web/uploads/productos/1558975292-88530.png
60054,BIELETA,CITROEN,C3,12>…,DEL DER IZQ,5087 45,R 10X1.5 EC 335mm,5087 45,DEL DER IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60054,https://tiper.com.ar/web/product-info.php?brand=107&model=99&product=335,60054,,12>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558969693-87488.png,https://tiper.com.ar/web/uploads/productos/1558969693-87488.png
60054,BIELETA,CITROEN,C3 PICASSO,10>12,DEL DER IZQ,5087 45,R 10X1.5 EC 335mm,5087 45,DEL DER IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60054,https://tiper.com.ar/web/product-info.php?brand=109&model=99&product=345,60054,,10>12,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558971291-33413.png,https://tiper.com.ar/web/uploads/productos/1558971291-33413.png
60055,BIELETA,CITROEN,JUMPER,81>94,DEL DER IZQ,5087 37,Ø 14.0 EC 132mm,5087 37,DEL DER IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60055,https://tiper.com.ar/web/product-info.php?brand=121&model=99&product=383,60055,,81>94,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/nophoto.jpg | https://tiper.com.ar/web/pics/tiper.png,
60056,BIELETA,CITROEN,C4 AIRCROSS,13>…,DEL DER>IZQ,5087.58,#N/A #N/A,5087.58,DEL DER>IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60056,https://tiper.com.ar/web/product-info.php?brand=111&model=99&product=1846,60056,,13>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558972672-39891.png,https://tiper.com.ar/web/uploads/productos/1558972672-39891.png
60057,BIELETA,CITROEN,C3 PICASSO,13>…,DEL IZQ,5087.69,R 10X1.5 EC 330mm,5087.69,DEL IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60057,https://tiper.com.ar/web/product-info.php?brand=109&model=99&product=2005,60057,,13>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558971859-75632.png,https://tiper.com.ar/web/uploads/productos/1558971859-75632.png
60057,BIELETA,CITROEN,C-ELYSEE,16>…,DEL IZQ,5087.69,R 10X1.5 EC 330mm,5087.69,DEL IZQ,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60057,https://tiper.com.ar/web/product-info.php?brand=473&model=99&product=2011,60057,,16>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558966933-56538.png,https://tiper.com.ar/web/uploads/productos/1558966933-56538.png
60058,BIELETA,CITROEN,C3 PICASSO,13>…,DEL DER,5087.68,R 10X1.5 EC 330mm,5087.68,DEL DER,Catálogo Electrónico,https://tiper.com.ar/web/products.php?code=60058,https://tiper.com.ar/web/product-info.php?brand=109&model=99&product=2006,60058,,13>…,https://tiper.com.ar/web/pics/Tiper-BannerWeb-Ingeniero.png | https://tiper.com.ar/web/pics/Tiper-BannerWeb-RacingParts.png | https://tiper.com.ar/web/pics/Tiper-PopupCovid19.png | https://tiper.com.ar/web/pics/banner-catalogo-2019.png | https://tiper.com.ar/web/pics/banner-mundotiper-2019.png | https://tiper.com.ar/web/pics/icon-bieleta.png | https://tiper.com.ar/web/pics/icon-extremo.png | https://tiper.com.ar/web/pics/icon-otros.png | https://tiper.com.ar/web/pics/icon-player.png | https://tiper.com.ar/web/pics/icon-precap.png | https://tiper.com.ar/web/pics/icon-rotula.png | https://tiper.com.ar/web/pics/tiper.png | https://tiper.com.ar/web/uploads/productos/1558971888-18794.png,https://tiper.com.ar/web/uploads/productos/1558971888-18794.png
