fuente,codigo,producto,familia,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,posicion,abs
DAYCO,APV2742,Tensor auxiliar,TENSOR,,,3910707 (CUMMINS) | 3914854 (CUMMINS) | 3934822 (CUMMINS) | 3936210 (CUMMINS) | 3973827 (CUMMINS) | 3978200 (CUMMINS) | 5333480 (CUMMINS) | CBU1688 (DAF) | CBU2548 (DAF) | CBU2622 (DAF) | D1186-2523 (DYNACRAFT),,https://webcateu.dayco.ws/img/products/APV2742.jpg,https://www.dayco.com/la-es/catalog/?search=APV2742,Auxiliar,TENSIONER&PULLEY,,,
DAYCO,8PK1420HD,Correa Poly-V,CORREA POLY-V,,,2791517317 (CUMMINS) | 3027697 (CUMMINS) | 3288746 (CUMMINS) | 3288757 (CUMMINS) | 3288768 (CUMMINS) | 3903091 (CUMMINS) | 3908037 (CUMMINS) | 3910912 (CUMMINS) | 3911588 (CUMMINS) | 9069937196 (MERCEDES-BENZ) | 9069972492 (MERCEDES-BENZ) | 938766X (NEW HOLLAND) | A9069972492 (MERCEDES-BENZ),,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK1420HD,Auxiliar,POLY-V,,,
DAYCO,8PK1600HD,Correa Poly-V,CORREA POLY-V,,,0107-767-010 (SOLARIS) | 11128923 (VOLVO) | 129972392 (MERCEDES-BENZ) | 20545619 (VOLVO) | 20582552 (VOLVO) | 21556637 (MACK) | 21556637 (VOLVO) | 328898 (CUMMINS) | 328899 (CUMMINS) | 3911575 (CUMMINS) | 3924020 (CUMMINS) | 76193355 (FIAT) | F3HT-8620-KA (FORD),,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK1600HD,Auxiliar,POLY-V,,,
DAYCO,700041,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700041.jpg,https://www.dayco.com/la-es/catalog/?search=700041,Refrigeración,COOLING HOSE,,,
DAYCO,13A1020HD,Correa de transmisión,CORREA DE TRANSMISIÓN,,,,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1020HD,Transmisión,RAW-EDGE(V),,,
DAYCO,8PK1850HD,Correa Poly-V,CORREA POLY-V,,,1800528 (SCANIA) | 3195992 (VOLVO) | 70302957 (VOLVO) | 9069937096 (MERCEDES-BENZ) | 9069973192 (MERCEDES-BENZ),,https://webcateu.dayco.ws/img/products/8PK.jpg,https://www.dayco.com/la-es/catalog/?search=8PK1850HD,Auxiliar,POLY-V,,,
DAYCO,13A1450HD,Correa de transmisión,CORREA DE TRANSMISIÓN,,,0009978992 (MERCEDES-BENZ) | 0069979392 (MERCEDES-BENZ) | 007753012520 (MERCEDES-BENZ) | 0079971092 (MERCEDES-BENZ) | 0109973792 (MERCEDES-BENZ) | 06580722392 (DAF) | 109973792 (MERCEDES-BENZ) | 1599251 (IVECO) | 23223064 (RENAULT) | 23223141 (RENAULT) | 23223154 (RENAULT) | 23255185 (RENAULT) | 23255644 (RENAULT) | 236636 (DAF) | 237785 (DAF) | 283164 (DAF) | 323560 (RENAULT) | 323586 (RENAULT) | 323786 (RENAULT) | 323889 (RENAULT) | 417550 (VOLVO) | 45913 (IVECO) | 4759595 (IVECO) | 4759597 (IVECO) | 4813541 (IVECO) | 5000250769 (RENAULT) | 5000280844 (RENAULT) | 5000566547 (RENAULT) | 5000666286 (RENAULT) | 5000666828 (RENAULT) | 5000666883 (RENAULT) | 5000666884 (RENAULT) | 5000686286 (RENAULT) | 5000686828 (RENAULT) | 5000786244 (RENAULT) | 51968206115 (DAF) | 6580722392 (DAF) | 69979392 (MERCEDES-BENZ) | 7753012520 (MERCEDES-BENZ) | 79028862 (NEW HOLLAND) | 79971092 (MERCEDES-BENZ) | 85804035 (FIAT) | 967199 (VOLVO) | 977322 (VOLVO) | 99439810 (IVECO) | 99439810 (NEW HOLLAND) | 99439812 (IVECO) | 99439812 (NEW HOLLAND) | 9978992 (MERCEDES-BENZ),,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1450HD,Transmisión,RAW-EDGE(V),,,
DAYCO,13A1610HD,Correa de transmisión,CORREA DE TRANSMISIÓN,,,,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1610HD,Transmisión,RAW-EDGE(V),,,
DAYCO,700165,Manguera,MANGUERA,,,,,https://webcateu.dayco.ws/img/products/700165.jpg,https://www.dayco.com/la-es/catalog/?search=700165,Refrigeración,COOLING HOSE,,,
DAYCO,APV2884,Tensor auxiliar,TENSOR,,,T12145275 (FORD),,https://webcateu.dayco.ws/img/products/APV2884.jpg,https://www.dayco.com/la-es/catalog/?search=APV2884,Auxiliar,TENSIONER&PULLEY,,,
