codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR15,RODAMIENTO,FIAT,UNO,85>,Pieza: SEMIEJE | Posición: DEL | Lado: IZQ/DER | Ø int: 23 | Ø ext: 47.3 | Alt: 27.2 | ABS: NO | Obs: BAJA MOTORIZACION,F 110165 | 4RR110165 | F-110165 | 710002110,,,,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,23,47.3,27.2,23,47,27,NO
RR08,RODAMIENTO,FIAT,UNO,85>,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 35 | Ø ext: 68 | Alt: 37 | ABS: NO,BAH 0031 | BAH-0031 D | 4RR633295 | PW35680037CS | GB12132S02 | 13690050 | B 33,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,68,37,35,68,37,NO
RR17,RODAMIENTO,FIAT,UNO 70S,94>,Pieza: RUEDA | Posición: AMBAS | Lado: IZQ/DER | Ø int: 30 | Ø ext: 60.03 | Alt: 37 | ABS: NO,BA 2B 633313 | BAHB 633313EA | 4RR633313 | PW30600337CS | 615505 | R158.30 | 713690160 | 513116,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,AMBAS,IZQ/DER,30,60.03,37,30,60,37,NO
RR08,RODAMIENTO,FIAT,VIVACE,92>98,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 35 | Ø ext: 68 | Alt: 37 | ABS: NO,BAH 0031 | BAH-0031 D | 4RR633295 | PW35680037CS | GB12132S02 | 13690050 | B 33,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,68,37,35,68,37,NO
RR17,RODAMIENTO,FIAT,VIVACE,92>98,Pieza: RUEDA | Posición: AMBAS | Lado: IZQ/DER | Ø int: 30 | Ø ext: 60.03 | Alt: 37 | ABS: NO,BA 2B 633313 | BAHB 633313EA | 4RR633313 | PW30600337CS | 615505 | R158.30 | 713690160 | 513116,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,AMBAS,IZQ/DER,30,60.03,37,30,60,37,NO
RR15,RODAMIENTO,FIAT,VIVACE,92>98,Pieza: SEMIEJE | Posición: DEL | Lado: IZQ/DER | Ø int: 23 | Ø ext: 47.3 | Alt: 27.2 | ABS: NO | Obs: BAJA MOTORIZACION,F 110165 | 4RR110165 | F-110165 | 710002110,,,,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,23,47.3,27.2,23,47,27,NO
RR50,RODAMIENTO,FORD,CIELO,94>01,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RCC31A,RODAMIENTO,FORD,COURIER,,Pieza: CONO/CUBETA | Posición: AMBAS | Lado: INT/EXT | Ø int: 35 | Ø ext: 60 | Alt: 15.875 | ABS: NO,68145/111 | BT1B 332541 AB/Q | 4RR332541 | L68145/11 (SET 24) | 540484 | SET 24,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,AMBAS,INT/EXT,35,60,15.875,35,60,15,NO
RR50,RODAMIENTO,FORD,COURIER,97>,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RR102,RODAMIENTO,FORD,ECOSPORT,03>,Pieza: SEMIEJE | Posición: DEL | Lado: IZQ/DER | Ø int: 45 | Ø ext: 75 | Alt: 0 | ABS: NO,F 125091 | 4RR122901 | 712187810,,,,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,45,75,0,45,75,0,NO
RR45,RODAMIENTO,FORD,ECOSPORT 4X2,03>,Motor: 1.4 TDI / 1.6 / 2.0 | Pieza: RUEDA | Posición: TRAS | Lado: IZQ/DER | Ø int: 29 | Ø ext: 53 | Alt: 37 | ABS: NO,801023 AB | BTH-1206AB | 4RR801023 | PW29530037CSHD | R152.56 | 713678030 | 516007,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,29,53,37,29,53,37,NO
RCC69,RODAMIENTO,FORD,ESCORT,88>95,Pieza: CONO/CUBETA | Posición: DEL | Lado: INT/EXT | Ø int: 35.000 / 35.000 | Ø ext: 60.000 / 60.000 | Alt: 15.875 / 15.875 | ABS: NO | Obs: KIT (68145/111 X 2 + GRASA + RETEN),14687 | VKBA4687 | 4RR4687K,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT/EXT,35.000 / 35.000,60.000 / 60.000,15.875 / 15.875,,,,NO
RCC68,RODAMIENTO,FORD,ESCORT,96>03,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT/EXT | Ø int: 29.000 / 29.000 | Ø ext: 50.292 / 50.292 | Alt: 17.520 / 17.520 | ABS: NO | Obs: KIT (BT1B329013Q X 2 + GRASA + RETEN),14533 | VKBA4533 | 4RR4533K,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29.000 / 29.000,50.292 / 50.292,17.520 / 17.520,,,,NO
RR50,RODAMIENTO,FORD,ESCORT,96>03,Pieza: RUEDA | Posición: DEL | Lado: IZQ/DER | Ø int: 39 | Ø ext: 72 | Alt: 37 | ABS: NO,F 110622 | BAH-0036 | 4RR311396 | PW39720037CS | GB12776 | 542186CA | 513113,,,,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,39,72,37,39,72,37,NO
RCC52,RODAMIENTO,FORD,ESCORT,96>03,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT/EXT | Ø int: 29 | Ø ext: 50.308 | Alt: 17.5 | ABS: NO,BT1B 329013 Q | BT1B 329013 A/Q | 4RR329013 | 329013 | XC110240CG / L45410 | 572428,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29,50.308,17.5,29,50,17,NO
RCC31A,RODAMIENTO,FORD,ESCORT,88>95,Pieza: CONO/CUBETA | Posición: AMBAS | Lado: INT/EXT | Ø int: 35 | Ø ext: 60 | Alt: 15.875 | ABS: NO,68145/111 | BT1B 332541 AB/Q | 4RR332541 | L68145/11 (SET 24) | 540484 | SET 24,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,AMBAS,INT/EXT,35,60,15.875,35,60,15,NO
RCC2631,RODAMIENTO,FORD,ESCORT,88>95,Pieza: CONO/CUBETA | Posición: TRAS | Lado: EXT | Ø int: 17.462 | Ø ext: 39.878 | Alt: 13.843 | ABS: NO,11749/710 | LM 11749/710 | 4RR1749 | L11749/10 | SET 1,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,17.462,39.878,13.843,17,39,13,NO
RCC53,RODAMIENTO,FORD,ESCORT,88>95,Pieza: CONO/CUBETA | Posición: TRAS | Lado: INT | Ø int: 29 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,45449/410 | L 45449/410/Q | 4RR45449410 | L45449/10 | 518772A | SET 8,,,,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,29,50.292,14.224,29,50,14,NO
