fuente,codigo,producto,familia,marca,modelo,anio,info,oem,imagen_producto,url_ficha,aplicacion_dayco,tipo_dayco,dimension,motor,kw,hp,posicion,abs,ficha_oem,ficha_info
DAYCO,13A1250C,Correa de transmisión,CORREA DE TRANSMISIÓN,TOYOTA,BANDEIRANTE,1962,Motor: OM314 | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1250C,Transmisión,RAW-EDGE(V),,OM314,85,116,,,,
DAYCO,13A1255C,Correa de transmisión,CORREA DE TRANSMISIÓN,TOYOTA,BANDEIRANTE,1962,Motor: OM314 | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/VEE.jpg,https://www.dayco.com/la-es/catalog/?search=13A1255C,Transmisión,RAW-EDGE(V),,OM314,85,116,,,,
DAYCO,163STP8M267H,Correa de distribución,CORREA DE DISTRIBUCIÓN,TOYOTA,CAMRY,1991-1996,Motor: 16V | Versión:  | Gama: LD,13566-03010 (TOYOTA) | 13566-70060 (TOYOTA) | 13566-70070 (TOYOTA) | 13566-74011 (TOYOTA) | 13566-74012 (TOYOTA) | 13566-74020 (TOYOTA) | 13566-79095 (TOYOTA) | 13568-03020 (TOYOTA) | 13568-74010 (TOYOTA) | 13568-74011 (TOYOTA) | 13568-74020 (TOYOTA) | 13568-79025 (TOYOTA) | 13568-79095 (TOYOTA) | 1356803010 (TOYOTA) | 1356809040 (TOYOTA) | 1356809041 (TOYOTA) | 135683010 (TOYOTA) | 135683020 (TOYOTA) | 1356874012 (TOYOTA) | 1356874013 (TOYOTA) | 1356879215 (TOYOTA) | 1356879225 (TOYOTA) | 135689041 (TOYOTA) | VT164 (IVECO),https://webcateu.dayco.ws/img/products/TB.jpg,https://www.dayco.com/la-es/catalog/?search=163STP8M267H,Principal,TIMING BELT,,16V,110,150,,,,
DAYCO,3PK760,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991-1996,Motor: 16V | Versión:  | Gama: LD,31110PK30030 (HONDA) | 31110PK30031 (HONDA) | 31110PM3014 (HONDA) | 31110PM3024 (HONDA) | 31110PM5305 (HONDA) | 31110PM5505 (HONDA) | 31110PM5A11 (HONDA) | 90916-02177 (TOYOTA) | 9091602177 (LEXUS) | 909160217783 (TOYOTA) | 9091602205 (TOYOTA) | 9091602318 (TOYOTA) | 9936300760 (TOYOTA) | 9936350760 (TOYOTA) | 9936370760 (TOYOTA) | 9936380760 (TOYOTA) | F20118381 (MAZDA) | F20118381A (MAZDA) | F20118381A9C (MAZDA) | F20118381X (MAZDA) | GFB360 (ROVER) | GFB367 (ROVER),https://webcateu.dayco.ws/img/products/3PK.jpg,https://www.dayco.com/la-es/catalog/?search=3PK760,Auxiliar,POLY-V,,16V,110,150,,,,
DAYCO,5PK1005,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991-1996,Motor: 16V | Versión:  | Gama: LD,11281435280 (BMW) | 11281742029 (BMW) | 11287636376 (BMW) | 3285039 (CUMMINS) | 60596949 (ALFA ROMEO) | 60596949 (FIAT) | 7658133 (FIAT) | 7670173 (FIAT) | 7670173 (INNOCENTI) | 9091602219 (TOYOTA) | 9091602295 (TOYOTA) | 9091602296 (TOYOTA) | 9091602355 (TOYOTA) | 909160235583 (TOYOTA) | 9091602356 (TOYOTA) | 96144934 (DAEWOO) | 9936501000 (TOYOTA) | 9936502295 (TOYOTA) | 9936551000 (TOYOTA) | 9936561000 (TOYOTA) | 9936581000 (TOYOTA) | 99919220650 (PORSCHE) | 99919220750 (PORSCHE) | F80715907A (MAZDA) | GFB51005 (ROVER) | GFB91002 (ROVER) | KL4715908 (MAZDA) | KL4715908A (MAZDA) | KL7015908 (MAZDA) | KL7015908A (MAZDA) | PQS000220 (LAND ROVER) | PQS000220 (ROVER),https://webcateu.dayco.ws/img/products/5PK.jpg,https://www.dayco.com/la-es/catalog/?search=5PK1005,Auxiliar,POLY-V,,16V,110,150,,,,
DAYCO,5PK1115,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991-1996,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/5PK.jpg,https://www.dayco.com/la-es/catalog/?search=5PK1115,Auxiliar,POLY-V,,16V,110,150,,,,
DAYCO,4PK812,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991,Motor: V6 24V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK812,Auxiliar,POLY-V,,V6 24V,126,172,,,,
DAYCO,4PK875,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991,Motor: V6 24V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK875,Auxiliar,POLY-V,,V6 24V,126,172,,,,
DAYCO,6PK1035,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,1991,Motor: V6 24V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1035,Auxiliar,POLY-V,,V6 24V,126,172,,,,
DAYCO,7PK1905S,Correa Poly-V,CORREA POLY-V,TOYOTA,CAMRY,2008-2011,Motor: 24V | Versión:  | Gama: LD,1033063 (TOYOTA) | 9091602652 (TOYOTA),https://webcateu.dayco.ws/img/products/7PK.jpg,https://www.dayco.com/la-es/catalog/?search=7PK1905S,Auxiliar,POLY-V,,24V,204,278,,,,
DAYCO,1120,Tensor genérico,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/1120.jpg,https://www.dayco.com/la-es/catalog/?search=1120,Auxiliar,TENSIONER&PULLEY,,16V,81,111,,,,
DAYCO,117SHP+210H,Correa de distribución,CORREA DE DISTRIBUCIÓN,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,1356616050 (TOYOTA) | 13568-19185 (TOYOTA) | 1356809020 (TOYOTA) | 1356816040 (TOYOTA) | 1356816050 (TOYOTA) | 1356816051 (TOYOTA) | 1356819045 (TOYOTA) | 1356819046 (TOYOTA) | 94854403 (TOYOTA) | E030000701 (GEELY),https://webcateu.dayco.ws/img/products/TB.jpg,https://www.dayco.com/la-es/catalog/?search=117SHP+210H,Principal,TIMING BELT,,16V,81,111,,,,
DAYCO,1188,Tensor genérico,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/1188.jpg,https://www.dayco.com/la-es/catalog/?search=1188,Auxiliar,TENSIONER&PULLEY,,16V,81,111,,,,
DAYCO,1313,Tensor genérico,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/1313.jpg,https://www.dayco.com/la-es/catalog/?search=1313,Auxiliar,TENSIONER&PULLEY,,16V,81,111,,,,
DAYCO,3PK625,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,9936300630 (TOYOTA) | 9936330630 (TOYOTA) | 9936370630 (TOYOTA) | 9936390630 (TOYOTA),https://webcateu.dayco.ws/img/products/3PK.jpg,https://www.dayco.com/la-es/catalog/?search=3PK625,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,4PK855,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK855,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,4PK862,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/4PK.jpg,https://www.dayco.com/la-es/catalog/?search=4PK862,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,5PK975,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,11281736988 (BMW) | 11287833266 (BMW) | 1340724 (GENERAL MOTORS) | 1340724 (OPEL) | 46413020 (FIAT) | 46770222 (FIAT) | 513863K (CUMMINS) | 575079 (PEUGEOT) | 60808793 (ALFA ROMEO) | 60808793 (FIAT) | 71739911 (FIAT) | 7706132 (FIAT) | 7706132 (LANCIA) | 9004831005 (DAIHATSU) | 9004831500 (DAIHATSU) | 9008091050 (TOYOTA) | 9008091055 (TOYOTA) | 90299503 (GENERAL MOTORS) | 90299503 (OPEL) | 90299503 (VAUXHALL) | 93502642 (PEUGEOT) | 96144933 (DAEWOO) | 9936500960 (TOYOTA) | 9936500980 (TOYOTA) | 9936510980 (TOYOTA) | 9936520970 (TOYOTA) | 99365209708P (TOYOTA) | 9936520980 (TOYOTA) | EBC11306 (DAIMLER) | EBC11306 (JAGUAR) | F80215907 (MAZDA) | F80215907A (MAZDA) | F80215907X (MAZDA) | MD325262 (MITSUBISHI) | NBD3700BA (JAGUAR),https://webcateu.dayco.ws/img/products/5PK.jpg,https://www.dayco.com/la-es/catalog/?search=5PK975,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,6PK1815,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1815,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,6PK1930,Correa Poly-V,CORREA POLY-V,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/6PK.jpg,https://www.dayco.com/la-es/catalog/?search=6PK1930,Auxiliar,POLY-V,,16V,81,111,,,,
DAYCO,73261,Manguera,MANGUERA,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,165720D130 (TOYOTA),https://webcateu.dayco.ws/img/products/73261.jpg,https://www.dayco.com/la-es/catalog/?search=73261,Refrigeración,COOLING HOSE,,16V,81,111,,,,
DAYCO,73277,Manguera,MANGUERA,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,165710D140 (TOYOTA),https://webcateu.dayco.ws/img/products/73277.jpg,https://www.dayco.com/la-es/catalog/?search=73277,Refrigeración,COOLING HOSE,,16V,81,111,,,,
DAYCO,7722,Tensor genérico,TENSOR,TOYOTA,COROLLA,... > ...,Motor: 16V | Versión:  | Gama: LD,,https://webcateu.dayco.ws/img/products/7722.jpg,https://www.dayco.com/la-es/catalog/?search=7722,Auxiliar,TENSIONER&PULLEY,,16V,81,111,,,,
