codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10012,FUELLE,CITROËN / FIAT / PEUGEOT,2008 / 206 / 207 / 208 / 3008 / 307 / 308 / 407 / 408 / C4 / C5 / DUCATO,02>09,FUELLE TRANSMISIÓN CITROEN C4 (07…) - C5 (02-09) / FIAT DUCATO (99…) / PEUGEOT 207 (08…) -206 (99-13) - 208 (16…) -307 (01-12) - 308 (09…) - 407 (05-11) - 2008 (16…) - 3008 (10…) - 408 (10..) - | (CON LOBULOS),3287-A9,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/20012-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10012/,SERRAT,Codigo: 10012,TRANSMISIÓN,35,81,193,CAJA,IZQ/DER,35 x 81 x 193
10013,FUELLE,CHEVROLET,AVEO,08>,FUELLE TRANSMISIÓN CHEVROLET AVEO (08…) - | (CON LOBULOS),96489854,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10013-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10013/,SERRAT,Codigo: 10013,TRANSMISIÓN,23,86,105,CAJA,IZQ/DER,23 x 86 x 105
10014,FUELLE,CHEVROLET,SPARK,08>,FUELLE TRANSMISIÓN CHEVROLET SPARK (08…) - | (CON LOBULOS),96396138,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10014-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10014/,SERRAT,Codigo: 10014,TRANSMISIÓN,19,64,90,CAJA,IZQ/DER,19 x 64 x 90
10015,FUELLE,RENAULT,LOGAN I/II / SANDERO I/II / SYMBOL,07>,FUELLE TRANSMISIÓN RENAULT LOGAN I / II (07…) - SANDERO I / II (08…) - SYMBOL (07…),7701473830,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10015-20025-25-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10015/,SERRAT,Codigo: 10015,TRANSMISIÓN,44,86,86,CAJA,IZQ/DER,44 x 86 x 86
10016,FUELLE,FORD,MONDEO,94>12,FUELLE TRANSMISIÓN FORD MONDEO (94-12) - | (CON LOBULOS),98BX4A084FA,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10016-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10016/,SERRAT,Codigo: 10016,TRANSMISIÓN,25,87,135,CAJA,IZQ/DER,25 x 87 x 135
10017,FUELLE,VOLKSWAGEN,AMAROK / PASSAT / VENTO,10>,FUELLE TRANSMISIÓN VW. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498203,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10017-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10017/,SERRAT,Codigo: 10017,TRANSMISIÓN,30,100,123,RUEDA,IZQ/DER,30 x 100 x 123
10018,FUELLE,VOLKSWAGEN,AMAROK / PASSAT / VENTO,10>,FUELLE TRANSMISIÓN VW. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498201A,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/20019-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10018/,SERRAT,Codigo: 10018,TRANSMISIÓN,29,71,98,CAJA,IZQ/DER,29 x 71 x 98
10020,FUELLE,FORD / MITSUBISHI / RENAULT / VOLKSWAGEN,CAPTUR / DUSTER / FLUENCE / KUGA / L200 / OROCH / RANGER / SHARAN,12>17,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - FLUENCE (10…) - CAPTUR (17…) / MITSUBISHI L200 / FORD RANGER (12-17) - KUGA (10…) / V.W SHARAN (95-10),7701209830 / MB 896069,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10020-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10020/,SERRAT,Codigo: 10020,TRANSMISIÓN,27,88,102,RUEDA,IZQ/DER,27 x 88 x 102
10021,FUELLE,RENAULT,CAPTUR / DUSTER / FLUENCE / OROCH,11>,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - CAPTUR (17…) - FLUENCE (10…),7701209238,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10021-4-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10021/,SERRAT,Codigo: 10021,TRANSMISIÓN,23,75,95,CAJA,IZQ/DER,23 x 75 x 95
10022,FUELLE,RENAULT,DUSTER / OROCH,11>,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) -OROCH (17…) - | (CON LOBULOS),397411935R,,,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10022-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10022/,SERRAT,Codigo: 10022,TRANSMISIÓN,27,85,102,CAJA,IZQ/DER,27 x 85 x 102
