codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,boca_chica,boca_grande,largo,posicion,lado,dimensiones
10011,FUELLE,00>05,FUELLE TRANSMISIÓN HONDA CIVIC (00-05) NEW CIVIC (06...) / CITROEN BERLINGO (98…) - C3 ( 03…) - C-ELYSSE (16…) / PEUGEOT 206 (99-13) - 207 (08…) - 208 (13…) - 301 (16…) - 2008 (16...) - PARTNER (98…) -FIAT TORO 1.8 (A/T) | - (CON LOBULOS) | 328788 / 44017-SNE-A21,,22 x 76 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10011-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10011/,SERRAT,Codigo: 10011,TRANSMISIÓN,22,76,95,CAJA,IZQ/DER,
10012,FUELLE,02>09,FUELLE TRANSMISIÓN CITROEN C4 (07…) - C5 (02-09) / FIAT DUCATO (99…) / PEUGEOT 207 (08…) -206 (99-13) - 208 (16…) -307 (01-12) - 308 (09…) - 407 (05-11) - 2008 (16…) - 3008 (10…) - 408 (10..) - | (CON LOBULOS),3287-A9,35 x 81 x 193,https://serratsrl.com.ar/wp-content/uploads/2024/05/20012-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10012/,SERRAT,Codigo: 10012,TRANSMISIÓN,35,81,193,CAJA,IZQ/DER,
10013,FUELLE,08>,FUELLE TRANSMISIÓN CHEVROLET AVEO (08…) - | (CON LOBULOS),96489854,23 x 86 x 105,https://serratsrl.com.ar/wp-content/uploads/2024/05/10013-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10013/,SERRAT,Codigo: 10013,TRANSMISIÓN,23,86,105,CAJA,IZQ/DER,
10014,FUELLE,08>,FUELLE TRANSMISIÓN CHEVROLET SPARK (08…) - | (CON LOBULOS),96396138,19 x 64 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10014-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10014/,SERRAT,Codigo: 10014,TRANSMISIÓN,19,64,90,CAJA,IZQ/DER,
10015,FUELLE,07>,FUELLE TRANSMISIÓN RENAULT LOGAN I / II (07…) - SANDERO I / II (08…) - SYMBOL (07…),7701473830,44 x 86 x 86,https://serratsrl.com.ar/wp-content/uploads/2024/05/10015-20025-25-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10015/,SERRAT,Codigo: 10015,TRANSMISIÓN,44,86,86,CAJA,IZQ/DER,
10016,FUELLE,94>12,FUELLE TRANSMISIÓN FORD MONDEO (94-12) - | (CON LOBULOS),98BX4A084FA,25 x 87 x 135,https://serratsrl.com.ar/wp-content/uploads/2024/05/10016-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10016/,SERRAT,Codigo: 10016,TRANSMISIÓN,25,87,135,CAJA,IZQ/DER,
10017,FUELLE,10>,FUELLE TRANSMISIÓN VW. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498203,30 x 100 x 123,https://serratsrl.com.ar/wp-content/uploads/2024/05/10017-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10017/,SERRAT,Codigo: 10017,TRANSMISIÓN,30,100,123,RUEDA,IZQ/DER,
10018,FUELLE,10>,FUELLE TRANSMISIÓN VW. AMAROK (10…) - PASSAT (95…) - VENTO (06…),7L0498201A,29 x 71 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/05/20019-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10018/,SERRAT,Codigo: 10018,TRANSMISIÓN,29,71,98,CAJA,IZQ/DER,
10020,FUELLE,12>17,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - FLUENCE (10…) - CAPTUR (17…) / MITSUBISHI L200 / FORD RANGER (12-17) - KUGA (10…) / V.W SHARAN (95-10) | 7701209830 / MB 896069,,27 x 88 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/05/10020-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10020/,SERRAT,Codigo: 10020,TRANSMISIÓN,27,88,102,RUEDA,IZQ/DER,
10021,FUELLE,11>,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) - OROCH (17…) - CAPTUR (17…) - FLUENCE (10…),7701209238,23 x 75 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10021-4-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10021/,SERRAT,Codigo: 10021,TRANSMISIÓN,23,75,95,CAJA,IZQ/DER,
10022,FUELLE,11>,FUELLE TRANSMISIÓN RENAULT DUSTER (11…) -OROCH (17…) - | (CON LOBULOS),397411935R,27 x 85 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/05/10022-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10022/,SERRAT,Codigo: 10022,TRANSMISIÓN,27,85,102,CAJA,IZQ/DER,
10023,FUELLE,09>14,FUELLE TRANSMISIÓN HYUNDAI SANTA FE (01…) - TUCSON (05…) / RENAULT KOLEOS (09-14) / MITSUBISHI L200 / NISSAN X TRAIL (14...) - | (CON LOBULOS),49542N0055,29 x 93 x 102,https://serratsrl.com.ar/wp-content/uploads/2024/05/10023-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10023/,SERRAT,Codigo: 10023,TRANSMISIÓN,29,93,102,CAJA,IZQ/DER,
10024,FUELLE,02>14,FUELLE TRANSMISIÓN NISSAN FRONTIER (02-14) - X TRAIL (14...) - (CON LOBULOS),3974105V086,25 x 95 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10024-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10024/,SERRAT,Codigo: 10024,TRANSMISIÓN,25,95,95,CAJA,IZQ/DER,
10025,FUELLE,07>14,FUELLE TRANSMISIÓN NISSAN TIIDA (07-14) - | (CON LOBULOS ),C9741EL00A,23 x 89 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10025-4-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10025/,SERRAT,Codigo: 10025,TRANSMISIÓN,23,89,95,CAJA,IZQ/DER,
10026,FUELLE,09>,FUELLE TRANSMISIÓN HONDA CITY (09…) - NEW FIT (10…) - | (CON LOBULOS),44017TJ0M01,22 x 78 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10026-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10026/,SERRAT,Codigo: 10026,TRANSMISIÓN,22,78,90,CAJA,IZQ/DER,
10027,FUELLE,99>13,FUELLE TRANSMISIÓN RENAULT FLUENCE (10…) - KWID (18…) / NISSAN SENTRA (91…) / PEUGEOT 206 (99-13) - 307 (01-12) - 207 (08…) - 208 (13…) / FIAT - STRADA (99...) - TORO 1.8 M/T (11...) / JEEP RENEGADE / CITROEN C3 (03…) - | (CON LOBULOS) | 7701209992 / C9741ET000,,27 x 75 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10027-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10027/,SERRAT,Codigo: 10027,TRANSMISIÓN,27,75,95,CAJA,IZQ/DER,
10029,FUELLE,98>02,FUELLE TRANSMISIÓN TOYOTA HILUX SW4 (98-02) -4RUNNER (96...) - | (CON LOBULOS),04438-35040,29 x 96 x 112,https://serratsrl.com.ar/wp-content/uploads/2024/05/10029-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10029/,SERRAT,Codigo: 10029,TRANSMISIÓN,29,96,112,CAJA,IZQ/DER,
10030,FUELLE,13>,FUELLE TRANSMISIÓN CHEVROLET COBALT (13…) - ONIX (13…) - PRISMA (11…) - SONIC (12…) - SPIN (12…) - AVEO (08…) - | (CON LOBULOS),94760593,23 x 80 x 97,https://serratsrl.com.ar/wp-content/uploads/2024/05/10030-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10030/,SERRAT,Codigo: 10030,TRANSMISIÓN,23,80,97,CAJA,IZQ/DER,
10031,FUELLE,13>,FUELLE TRANSMISIÓN RENAULT MASTER III (13…),392417848R,29 x 96 x 139,https://serratsrl.com.ar/wp-content/uploads/2024/05/10031-1.jpg,https://serratsrl.com.ar/producto/codigos-10031/,SERRAT,Codigo: 10031,TRANSMISIÓN,29,96,139,RUEDA,IZQ/DER,
10032,FUELLE,13>,FUELLE TRANSMISIÓN RENAULT MASTER III (13…) - | (CON LOBULOS),7701209260,27 x 86 x 95,https://serratsrl.com.ar/wp-content/uploads/2024/05/10032-1.jpg,https://serratsrl.com.ar/producto/codigos-10032/,SERRAT,Codigo: 10032,TRANSMISIÓN,27,86,95,CAJA,IZQ/DER,
10034,FUELLE,03>11,FUELLE TRANSMISIÓN FIAT DOBLO (10…) - LINEA (08…) - MOBI (14…) - IDEA (05…) - PUNTO (07…) - STILO (03-11) - QUBO (08...) / NISSAN KICKS (18…) - MARCH (12…) - NOTE (15…) - SENTRA (91…) / RENAULT KIND (18…) - | (CON LOBULOS),46306675,22 x 78 x 83,https://serratsrl.com.ar/wp-content/uploads/2024/05/10034-3-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10034/,SERRAT,Codigo: 10034,TRANSMISIÓN,22,78,83,CAJA,IZQ/DER,
10035,FUELLE,96>,FUELLE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...),9623535380,35 x 110 x 167,https://serratsrl.com.ar/wp-content/uploads/2024/05/10035-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigos-10035/,SERRAT,Código: 10035,TRANSMISIÓN,35,110,167,RUEDA,IZQ/DER,
10036,FUELLE,96>,FUELLE TRANSMISIÓN CITROEN JUMPER (96…) / PEUGEOT BOXER (96…) / FIAT DUCATO (99...) | 1400223080 / 9564479588,,33 x 86 x 88,https://serratsrl.com.ar/wp-content/uploads/2024/05/10036-2.jpg,https://serratsrl.com.ar/producto/codigos-10036/,SERRAT,Código: 10036,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,
10037,FUELLE,04>,FUELLE TRANSMISIÓN VW FOX-CROSSFOX (04…) - SURAN (04…) - GOL TREND (13…) - GOLF (00…) POLO 1.6 (17…) - VIRTUS 1.6 (17…) - VOYAGE (04…),1H040407283C,33 x 86 x 88,https://serratsrl.com.ar/wp-content/uploads/2024/05/10037-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10037/,SERRAT,Código: 10037,TRANSMISIÓN,33,86,88,CAJA,IZQ/DER,
10039,FUELLE,13>,FUELLE TRANSMISIÓN TOYOTA ETIOS (13…) - | (CON LOBULOS),044270D330,20 x 72 x 92,https://serratsrl.com.ar/wp-content/uploads/2024/05/10039-escala-reducida-1.jpg,https://serratsrl.com.ar/producto/codigos-10037-2/,SERRAT,Código: 10039,TRANSMISIÓN,20,72,92,CAJA,IZQ/DER,
10040,FUELLE,61>84,FUELLE TRANSMISIÓN RENAULT R4 - 4L - R6 (61-84) | (CON CRUCETAS),7702027292,70 x 70 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10040-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10040/,SERRAT,Código: 10040,TRANSMISIÓN,70,70,90,RUEDA,,
10041,FUELLE,99>13,FUELLE TRANSMISIÓN PEUGEOT 206 (99-13) - 307 (01-12) / CITROEN C3 (03…) - | (CON LOBULOS),3287A1,33 x 70 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/05/10041-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10041/,SERRAT,Código: 10041,TRANSMISIÓN,33,70,98,CAJA,IZQ/DER,
10042,FUELLE,14>,FUELLE TRANSMISIÓN VOLKSWAGEN UP (14…) / HYUNDAI HB20 1.0 L/1.6 L (12…) / RENAULT KWID (18…) / TOYOTA YARIS (07…) - (TODOS LOS MODELOS),1SB498203,21 x 71 x 94,https://serratsrl.com.ar/wp-content/uploads/2024/05/10042-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10042/,SERRAT,Código: 10042,TRANSMISIÓN,21,71,94,RUEDA,IZQ/DER,
10043,FUELLE,12>,"FUELLE TRANSMISIÓN HYUNDAI HB20 1,0L-1,6L (12...) - | (CON LOBULOS)",10267467,21 x 56 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/05/10043-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10043/,SERRAT,Código: 10043,TRANSMISIÓN,21,56,98,CAJA,IZQ/DER,
10044,FUELLE,14>,FUELLE TRANSMISIÓN VOLKSWAGEN UP (14…) - TOYOTA YARIS (07…) - | (CON LOBULOS),1SB498201,23 x 73 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10044-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10044/,SERRAT,Código: 10044,TRANSMISIÓN,23,73,90,CAJA,IZQ/DER,
10045,FUELLE,06>15,FUELLE TRANSMISIÓN FORD FOCUS (12...) - FIESTAS (12…) - ECOSPORT (12…) - S MAX (06-15) - | (CON LOBULOS),XS4J4A084GC,23 x 74 x 89,https://serratsrl.com.ar/wp-content/uploads/2024/05/10045-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10045/,SERRAT,Código: 10045,TRANSMISIÓN,23,74,89,CAJA,IZQ/DER,
10046,FUELLE,12>17,FUELLE TRANSMISIÓN FORD RANGER (12-17) - KUGA 1.6/2.5 T (10…) - FIAT TORO M/T - A/T 2.0 | (CON LOBULOS),AB39-3C290-CA,29 x 92 x 128,https://serratsrl.com.ar/wp-content/uploads/2024/05/10046-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10046/,SERRAT,Código: 10046,TRANSMISIÓN,29,92,128,CAJA,IZQ/DER,
10047,FUELLE,10>,FUELLE TRANSMISIÓN CHEVROLET CRUZE (10…) - TRAKER (13…) - CAPTIVA (96) - | (CON LOBULOS),26138130,26 x 83 x 101,https://serratsrl.com.ar/wp-content/uploads/2024/05/10047-2-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10047/,SERRAT,Código: 10047,TRANSMISIÓN,26,83,101,CAJA,IZQ/DER,
10048,FUELLE,99>,FUELLE TRANSMISIÓN FIAT DUCATO (99…) - | (CON LOBULOS),71771168,28 x 95 x 94,https://serratsrl.com.ar/wp-content/uploads/2024/05/10048-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10048/,SERRAT,Código: 10048,TRANSMISIÓN,28,95,94,CAJA,IZQ/DER,
10049,FUELLE,16>,FUELLE TRANSMISIÓN TOYOTA COROLLA (16...) - | (CON LOBULOS),04427-02560,22 x 78 x 80,https://serratsrl.com.ar/wp-content/uploads/2024/05/10049-1.jpg,https://serratsrl.com.ar/producto/codigos-10049/,SERRAT,Código: 10049,TRANSMISIÓN,22,78,80,CAJA,IZQ/DER,
10050,FUELLE,12>,FUELLE TRANSMISIÓN PEUGEOT EXPERT (12…) - | (CON LOBULOS),9803111880,30 x 90 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10050-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10050/,SERRAT,Código: 10050,TRANSMISIÓN,30,90,90,CAJA,IZQ/DER,
10051,FUELLE,16>,FUELLE TRANSMISIÓN FORD KA (16…) / CHERY QQ,3B5-4A084-AA,23 x 71 x 111,https://serratsrl.com.ar/wp-content/uploads/2024/05/10051-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10051/,SERRAT,Código: 10051,TRANSMISIÓN,23,71,111,RUEDA,IZQ/DER,
10052,FUELLE,16>,FUELLE TRANSMISIÓN FORD KA (16...) - | (CON LOBULOS),E3B5-4A084-BA,,https://serratsrl.com.ar/wp-content/uploads/2024/05/10052-1-scaled.jpg,https://serratsrl.com.ar/producto/codigos-10052/,SERRAT,Código: 10052,TRANSMISIÓN,,,,CAJA,IZQ/DER,
10053,FUELLE,17>,FUELLE TRANSMISIÓN TOYOTA HILUX (17…) - 4RUNNER (96...) / NISSAN MURANO -X TRAIL (14...) - | (CON LOBULOS),04427-0K050,28 x 97 x 98,https://serratsrl.com.ar/wp-content/uploads/2024/05/10053-1-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10053/,SERRAT,Código: 10053,TRANSMISIÓN,28,97,98,CAJA,IZQ/DER,
10054,FUELLE,99>13,FUELLE TRANSMISIÓN PEUGEOT 207 - 208 (13...) - PARTNER (11…) - 206 (99-13) - | (CON LOBULOS),,24 x 75 x 90,https://serratsrl.com.ar/wp-content/uploads/2024/05/10054-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10054/,SERRAT,Código: 10054,TRANSMISIÓN,24,75,90,CAJA,IZQ/DER,
10055,FUELLE,02>,Detalles: | FUELLE TRANSMISIÓN TOYOTA COROLLA (02...) - | (CON LOBULOS) | Lado/Posición: | Caja Izq-Der. | Contenido: | 1 Fuelle.,,23 x 83 x 100,https://serratsrl.com.ar/wp-content/uploads/2024/05/10055-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10055/,SERRAT,Código: 10055,TRANSMISIÓN,23,83,100,CAJA,IZQ/DER,
10056,FUELLE,95>10,FUELLE DE TRANSMISIÓN TOYOTA RAV4 (94... ) / V.W SHARAN (95-10) - | (CON LOBULOS),,28 x 93 x 115,https://serratsrl.com.ar/wp-content/uploads/2024/05/10056-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10056/,SERRAT,Código: 10056,TRANSMISIÓN,28,93,115,CAJA,IZQ/DER,
10057,FUELLE,20>,FUELLE DE TRANSMISIÓN V.W T-CROSS (20...) NIVUS (20...) - | (CON LOBULOS),2QB-407283-E,25 x 83 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/05/10057-scaled.jpg,https://serratsrl.com.ar/producto/codigo-10057/,SERRAT,Código: 10057,TRANSMISIÓN,25,83,120,IZQUIERDO / DERECHO,IZQ/DER,
10058,FUELLE,12>,FUELLE TRANSMISION FORD RANGER (12...) - | (CARDAN),2860052,30 x 62 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/05/TRANSMISION_10058-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10058/,SERRAT,Código: 10058,TRANSMISIÓN,30,62,120,CARDAN,,
10059,FUELLE,,FUELLE TRANSMISION CHERY QQ (TODOS LOS MODELOS) - | (CON LOBULOS),,24 x 75 x 80,https://serratsrl.com.ar/wp-content/uploads/2024/05/10059-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10059/,SERRAT,Código: 10059,TRANSMISIÓN,24,75,80,CAJA,IZQ/DER,
10060,FUELLE,85>97,FUELLE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95),7701348568,29 x 92 x 130,https://serratsrl.com.ar/wp-content/uploads/2024/05/10060escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10060/,SERRAT,Código: 10060,TRANSMISIÓN,29,92,130,RUEDA,IZQ/DER,
10080,FUELLE,85>97,FUELLE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95),7701462101,30 x 84 x 106,https://serratsrl.com.ar/wp-content/uploads/2024/05/10080-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10080/,SERRAT,Código: 10080,TRANSMISIÓN,30,84,106,CAJA,IZQ/DER,
10100,FUELLE,85>97,FUELLE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95) - R19 (88-00) - CLIO ( 91-99) - LAGUNA (93-02) - EXPRESS (91-03) KANGOO (99-07) - MEGANE I/II (97-09) - SCENIC (98-02) - TWINGO (94-03),7701468575,29 x 92 x 81,https://serratsrl.com.ar/wp-content/uploads/2024/05/TRANSMISION_10100-1-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10100/,SERRAT,Código: 10100,TRANSMISIÓN,29,92,81,CAJA,IZQ,
10101,FUELLE,85>97,FUELLE TRANSMISIÓN RENAULT R9 (85-97) - R11 (85-95) - R19 (88-00) - CLIO ( 91-99) - EXPRESS (91-03) - LAGUNA (93-02) - KANGOO (99-07) - MEGANE I/II (97-09) - SCENIC (98-02) KANGOO (99-07) - MEGANE I/II (97-09) - SCENIC (98-02) - TWINGO (94-03)- TWINGO (94-03) - | (CON REFUERZO METALICO),7701468575,29 x 92 x 81,https://serratsrl.com.ar/wp-content/uploads/2024/05/TRANSMISION_10100-1-escala-reducida-1.jpg,https://serratsrl.com.ar/producto/codigo-10101/,SERRAT,Código: 10101,TRANSMISIÓN,29,92,81,CAJA,IZQ,
10102,FUELLE,93>02,FUELLE TRANSMISIÓN RENAULT CLIO II (00...) - KANGOO II (08…) - LAGUNA II (93-02) - MASTER ( 99-12) - MEGANE III (10…) - SCENIC II (02-12),77014466083,43 x 89 x 85,https://serratsrl.com.ar/wp-content/uploads/2024/06/TRANSMISION_10102-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10102/,SERRAT,Código: 10102,TRANSMISIÓN,43,89,85,CAJA,IZQ,
10103,FUELLE,93>02,FUELLE TRANSMISIÓN RENAULT CLIO II (00...) - KANGOO II (08…) - LAGUNA II (93-02) - MASTER ( 99-12) MEGANE III (10... ) - SCENIC II (02-12)- MEGANE III (10…) - | (CON REFUERZO METALICO ) | RO: 77014466083,,43 x 89 x 85,https://serratsrl.com.ar/wp-content/uploads/2024/06/TRANSMISION_10103-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10103/,SERRAT,Código: 10103,TRANSMISIÓN,43,89,85,CAJA,IZQ,
10130,FUELLE,61>84,FUELLE TRANSMISIÓN RENAULT R4 - 4L - R6 (61-84) - (CON CRUCETAS) - R6 (CON HOMOCINETICA) - (82-92) - R12 CON TRICETA 4 VEL.(...81) - R12 (CON HOMOCINETICA) 4 VEL. (82-86) | RO: 77010-00986,,60 x 60 x 131,https://serratsrl.com.ar/wp-content/uploads/2024/06/10130-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10130/,SERRAT,Código: 10130,TRANSMISIÓN,60,60,131,CAJA,IZQ,
10140,FUELLE,88>00,FUELLE TRANSMISIÓN RENAULT R12 CON TRICETA 4 VEL. (...81) - R19 (88-00) - CLIO (91-00) - EXPRESS (91-02) - KANGOO (98-02) - TWINGO (94-03) | Lado / Posición : | Caja Der. | RO: 7701450617,,19 x 85 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/10140-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10140/,SERRAT,Código: 10140,TRANSMISIÓN,19,85,120,DERECHO,DER,
10150,FUELLE,,FUELLE TRANSMISIÓN RENAULT R12 (CON TRICETA) 4 VEL. (...81),7701200694,24 x 79 x 120,https://serratsrl.com.ar/wp-content/uploads/2024/06/10150-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10150/,SERRAT,Código: 10150,TRANSMISIÓN,24,79,120,RUEDA,IZQ/DER,
10170,FUELLE,,FUELLE TRANSMISIÓN RENAULT R12 (CON TRICETA) 4 VEL. (...81),7701463766,22 x 83 x 138,https://serratsrl.com.ar/wp-content/uploads/2024/06/10170-escala-reducida.jpg,https://serratsrl.com.ar/producto/codigo-10170/,SERRAT,Código: 10170,TRANSMISIÓN,22,83,138,RUEDA,IZQ/DER,
