codigo,producto,marca,modelo,anio,info,oem,ficha_medidas,ficha_oem,ficha_info,imagen_producto,url_ficha,fuente
5817,BUJE DE BARRA ESTABILIZADORA,FIAT,1600,,"DEL | OEM . buje barra estabil.. fiat 125/1600/1500/lada diam 19,5 mm. | OEM . buje barra estabil.delant. fiat 125/1600/1500/lada diam 19,5 mm.",,,,"BUJE DE BARRA ESTABILIZADORA | DEL | OEM . buje barra estabil.delant. fiat 125/1600/1500/lada diam 19,5 mm.",https://www.tamarit.com.ar/image/productos/995817.jpg,https://www.tamarit.com.ar/image/productos/995817.jpg,VTH
1216,BIELETA,FIAT,500,2008 2013,DEL | IZQ/DER | fiat 500 2008/.. - bravo 2013/.. | bieleta delantera fiat 500 2008/.. - bravo 2013/.. izq - der,51801136,,51801136,BIELETA | DEL | IZQ/DER | bieleta delantera fiat 500 2008/.. - bravo 2013/.. izq - der,https://www.tamarit.com.ar/image/productos/991216.jpg,https://www.tamarit.com.ar/image/productos/991216.jpg,VTH
7811,BUJE DE PARRILLA,FIAT,500,,DEL | OEM . buje parrilla anterior fiat 500 (1 caño) | OEM . buje parrilla delantera anterior fiat 500 (1 caño),,,,BUJE DE PARRILLA | DEL | OEM . buje parrilla delantera anterior fiat 500 (1 caño),https://www.tamarit.com.ar/image/productos/997811.jpg,https://www.tamarit.com.ar/image/productos/997811.jpg,VTH
8200,OEM,FIAT,500,,. juego de bujes tren del. fiat 500 (6 piezas) 7811 x 2 + 8807 x 2 + 8808 x 2. | OEM . juego de bujes tren del. fiat 500 (6 piezas) 7811 x 2 + 8807 x 2 + 8808 x 2.,,185,,OEM | OEM . juego de bujes tren del. fiat 500 (6 piezas) 7811 x 2 + 8807 x 2 + 8808 x 2.,https://www.tamarit.com.ar/image/productos/998200-185.jpg,https://www.tamarit.com.ar/image/productos/998200-185.jpg,VTH
8807,BUJE DE PARRILLA,FIAT,500,,DEL | OEM . buje parrilla posterior fiat 500 ( 2 caños) | OEM . buje parrilla delantera posterior fiat 500 ( 2 caños),,,,BUJE DE PARRILLA | DEL | OEM . buje parrilla delantera posterior fiat 500 ( 2 caños),https://www.tamarit.com.ar/image/productos/998807.jpg,https://www.tamarit.com.ar/image/productos/998807.jpg,VTH
8808,BUJE DE BARRA ESTABILIZADORA,FIAT,500,,DEL | OEM . buje de barra estabilizadora fiat 500 diametro goma 18 mm( con inserto metalico) | OEM . buje de barra estabilizadora delantera fiat 500 diametro goma 18 mm( con inserto metalico),,,,BUJE DE BARRA ESTABILIZADORA | DEL | OEM . buje de barra estabilizadora delantera fiat 500 diametro goma 18 mm( con inserto metalico),https://www.tamarit.com.ar/image/productos/998808.jpg,https://www.tamarit.com.ar/image/productos/998808.jpg,VTH
8863,CAZOLETA,FIAT,500,,"DEL | suspension fiat 500 , alfa romeo mito | cazoleta suspension delantera fiat 500 , alfa romeo mito",68073018AA,,68073018AA,"CAZOLETA | DEL | cazoleta suspension delantera fiat 500 , alfa romeo mito",https://www.tamarit.com.ar/image/productos/998863.jpg,https://www.tamarit.com.ar/image/productos/998863.jpg,VTH
9337,SOPORTE MOTOR,FIAT,500,,derecho fiat 500 | soporte motor derecho fiat 500,51739520,,51739520,SOPORTE MOTOR | soporte motor derecho fiat 500,https://www.tamarit.com.ar/image/productos/999337.jpg,https://www.tamarit.com.ar/image/productos/999337.jpg,VTH
9345,BUJE DE BARRA ESTABILIZADORA,FIAT,500,2008 2011,DEL | fiat 500 (polonia) 2008/2011 (diam goma 20 mm) | buje barra estabilizadora delantera fiat 500 (polonia) 2008/2011 (diam goma 20 mm),51857019,,51857019,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estabilizadora delantera fiat 500 (polonia) 2008/2011 (diam goma 20 mm),,,VTH
9346,BUJE DE BARRA ESTABILIZADORA,FIAT,500,2012 2017,DEL | fiat 500 (mexico) 2012/2017 (diam goma 22 mm) | buje barra estabilizadora delantera fiat 500 (mexico) 2012/2017 (diam goma 22 mm),K05168128AB,,K05168128AB,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estabilizadora delantera fiat 500 (mexico) 2012/2017 (diam goma 22 mm),,,VTH
9270,SOPORTE DE MOTOR,FIAT,500L,,DEL | fiat 500l | soporte de motor delantero fiat 500l,51939655,,51939655,SOPORTE DE MOTOR | DEL | soporte de motor delantero fiat 500l,https://www.tamarit.com.ar/image/productos/999270.jpg,https://www.tamarit.com.ar/image/productos/999270.jpg,VTH
9340,SOPORTE,FIAT,500L,,de caja fiat 500l / doblo 1.4 | soporte de caja fiat 500l / doblo 1.4,51815760,,51815760,SOPORTE | soporte de caja fiat 500l / doblo 1.4,https://www.tamarit.com.ar/image/productos/999340.jpg,https://www.tamarit.com.ar/image/productos/999340.jpg,VTH
