codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente
7729,BUJE DE PARRILLA,,BUJE DE PARRILLA | OEM . reparacion de buje parrilla superior renault master-2,,,https://www.tamarit.com.ar/image/productos/997729.jpg,https://www.tamarit.com.ar/image/productos/997729.jpg,VTH
773,SOPORTE MOTOR,,SOPORTE MOTOR | soporte motor del. derecho r-19 clio,7700785949,,,,VTH
7730,BUJE DE BARRA ESTABILIZADORA,2018,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estab. central delant. renault kangoo 2018/.. diam 25 mm,8200361290,25,https://www.tamarit.com.ar/image/productos/997730-25.jpg,https://www.tamarit.com.ar/image/productos/997730-25.jpg,VTH
7730,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estab. central delant. renault logan/sandero / logan-2 diam 23 mm,6001547140,,https://www.tamarit.com.ar/image/productos/997730.jpg,https://www.tamarit.com.ar/image/productos/997730.jpg,VTH
7731,BUJE DE PARRILLA,,BUJE DE PARRILLA | buje parrilla inferior renault master-2,7700302122,,https://www.tamarit.com.ar/image/productos/997731.jpg,https://www.tamarit.com.ar/image/productos/997731.jpg,VTH
7732,BUJE DE PARRILLA,,BUJE DE PARRILLA | buje parrilla inferior c/arandela renault master-2,7700302123,,https://www.tamarit.com.ar/image/productos/997732.jpg,https://www.tamarit.com.ar/image/productos/997732.jpg,VTH
7733,CAZOLETA,2007,CAZOLETA | DEL | cazoleta amortiguador delant. logan/sandero 2007/.. /duster/logan 2/oroch/logan-2 /kangoo-2 / captur (8200723741),6001547499,,https://www.tamarit.com.ar/image/productos/997733.jpg,https://www.tamarit.com.ar/image/productos/997733.jpg,VTH
7734,FUELLE,,FUELLE | DEL | fuelle-tope amortiguador delantero logan/sandero,6001548402,,https://www.tamarit.com.ar/image/productos/997734.jpg,https://www.tamarit.com.ar/image/productos/997734.jpg,VTH
7735,CUBRE,,CUBRE | DEL | cubre cazoleta superior delantera logan/sandero/duster/oroch/logan-2,6001548403,,https://www.tamarit.com.ar/image/productos/997735.jpg,https://www.tamarit.com.ar/image/productos/997735.jpg,VTH
7736,BUJE,,BUJE | TRAS | buje inferior amortiguador trasero renault r-19/clio,413510,,https://www.tamarit.com.ar/image/productos/997736.jpg,https://www.tamarit.com.ar/image/productos/997736.jpg,VTH
7737,BUJE,,BUJE | TRAS | buje superior amortiguador trasero renault r-19/clio,413655,,https://www.tamarit.com.ar/image/productos/997737.jpg,https://www.tamarit.com.ar/image/productos/997737.jpg,VTH
7738,CAZOLETA,,CAZOLETA | TRAS | cazoleta amortiguador trasera renault clio ii - symbol logan - logan 2 - sandero,500816310,,https://www.tamarit.com.ar/image/productos/997738.jpg,https://www.tamarit.com.ar/image/productos/997738.jpg,VTH
7739,FUELLE,,FUELLE | DEL | fuelle tope amortiguador delantero clio ii / logan-2 / captur,7700435860,,https://www.tamarit.com.ar/image/productos/997739.jpg,https://www.tamarit.com.ar/image/productos/997739.jpg,VTH
774,SOPORTE MOTOR,,SOPORTE MOTOR | soporte motor del. izquierdo r-19 clio,7700801543,,,,VTH
7740,BUJE DE BARRA ESTABILIZADORA,2009,BUJE DE BARRA ESTABILIZADORA | DEL | buje bieleta barra estab.delantera renault master-2 2009/..,5000393794,,https://www.tamarit.com.ar/image/productos/997740.jpg,https://www.tamarit.com.ar/image/productos/997740.jpg,VTH
7741,BUJE DE BARRA ESTABILIZADORA,,BUJE DE BARRA ESTABILIZADORA | DEL | buje barra estabilizadora delantera central renault laguna 2 (diam 20 mm),8200455604,,https://www.tamarit.com.ar/image/productos/997741.jpg,https://www.tamarit.com.ar/image/productos/997741.jpg,VTH
7742,FUELLE,,FUELLE | DEL | fuelle-tope amortiguador delantero clio,7700813875,,https://www.tamarit.com.ar/image/productos/997742.jpg,https://www.tamarit.com.ar/image/productos/997742.jpg,VTH
7744,SOPORTE MOTOR,,SOPORTE MOTOR | soporte motor derecho hidraulico renault laguna diesel,7700414099,,https://www.tamarit.com.ar/image/productos/997744.jpg,https://www.tamarit.com.ar/image/productos/997744.jpg,VTH
7745,SOPORTE MOTOR,,SOPORTE MOTOR | DEL | soporte motor delantero renault r-12,7700504590,,https://www.tamarit.com.ar/image/productos/997745.jpg,https://www.tamarit.com.ar/image/productos/997745.jpg,VTH
7746,SOPORTE,,SOPORTE | soporte caja de velocidades renault r-12,7700506311,,https://www.tamarit.com.ar/image/productos/997746.jpg,https://www.tamarit.com.ar/image/productos/997746.jpg,VTH
7747,SOPORTE,,SOPORTE | soporte central de motor renault megane ii/scenic ii 1.9 dci-2.0 16v nafta,8200103263,,https://www.tamarit.com.ar/image/productos/997747.jpg,https://www.tamarit.com.ar/image/productos/997747.jpg,VTH
7748,SOPORTE,,SOPORTE | soporte central de motor renault clio ii/kangoo ii 1.2 nafta-1.5 dci diesel,8200155207,,https://www.tamarit.com.ar/image/productos/997748.jpg,https://www.tamarit.com.ar/image/productos/997748.jpg,VTH
7749,SOPORTE,,SOPORTE | DEL | soporte delantero de motor renault r-18,7704000469,,https://www.tamarit.com.ar/image/productos/997749.jpg,https://www.tamarit.com.ar/image/productos/997749.jpg,VTH
7750,SOPORTE DE MOTOR,,SOPORTE DE MOTOR | TRAS | soporte de motor central trasero twingo 1.2,7700425711,,https://www.tamarit.com.ar/image/productos/997750.jpg,https://www.tamarit.com.ar/image/productos/997750.jpg,VTH
