codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR12,RODAMIENTO,,Aplicaciones: CHEVROLET CORSA II 02> | CHEVROLET MERIVA 03> | CHEVROLET MONTANA 11>,F 553648 | VKBA3600 | 4RR803775 | PW34670037CS | R153.39 | 713644080,Ø int: 34 | Ø ext: 67 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,34,67,37,34,67,37,NO
RR22,RODAMIENTO,,Aplicaciones: CHEVROLET CORSA II 02> | CHEVROLET MERIVA 03> | CHEVROLET MONTANA 11>,FC 40650 | VKBA3601 | 4RR40650 | PW27530043CSHD | FC40650S01 | 713644220,Ø int: 27 | Ø ext: 53 | Alt: 43 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,27,53,43,27,53,43,NO
RCC31A,RODAMIENTO,,Aplicaciones: CHEVROLET SPARK 08>11 | DAEWOO MATIZ 97> | FORD COURIER | FORD ESCORT 88>95 | FORD SIERRA 84>93,68145/111 | BT1B 332541 AB/Q | 4RR332541 | L68145/11 (SET 24) | 540484 | SET 24,Ø int: 35 | Ø ext: 60 | Alt: 15.875 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,AMBAS,INT/EXT,35,60,15.875,35,60,15,NO
RCC2648,RODAMIENTO,,Aplicaciones: CHEVROLET SPARK 08>11 | DACIA 1310 90> | DACIA 1410 90> | DAEWOO MATIZ 97> | RENAULT R4 S 70>84 | RENAULT R6 70>84 | RENAULT R12 70>95 | RENAULT R18 81>95 | RENAULT FUEGO 84>93 | SUBARU JUSTY 90>96,30204 | 30204 J2/Q | 4RR30204 | 30204M,Ø int: 20 | Ø ext: 47 | Alt: 15.25 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,EXT,20,47,15.25,20,47,15,NO
RCC2640,RODAMIENTO,,Aplicaciones: CHRYSLER / DODGE 1500 70> | CHRYSLER / DODGE VALIANT 62>64 | FORD FALCON 62>63 | FORD RANCHERO 62>63 | FORD TAUNUS 74>85 | HYUNDAI ATOS 98>03 | HYUNDAI EXCEL 92>95 | KIA AVELA 98>01 | KIA PRIDE 92>01 | MAZDA 323 90>95 | OPEL K-180 75>84 | VOLKSWAGEN 1500 82>91 | VOLKSWAGEN 1800 82>91,44649/610 | L 44649/610/Q | 4RR4649 | L44649/10 | SET 4,Ø int: 26.988 | Ø ext: 50.292 | Alt: 14.224 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,26.988,50.292,14.224,26,50,14,NO
RR01,RODAMIENTO,,Aplicaciones: CHRYSLER / DODGE 1500 76> | CHRYSLER / DODGE CORONADO 69> | CHRYSLER / DODGE GTX 70> | CHRYSLER / DODGE POLARA 68> | CHRYSLER / DODGE VALIANT 65> | FORD FAIRLANE 70> | FORD FALCON 64>93 | FORD RANCHERO 64>93 | FORD TAUNUS 74>85 | OPEL K-180 75>84 | VOLKSWAGEN 1500 82>91 | VOLKSWAGEN 1800 82>91,RW 207 HHR | 2G-RW 507 J | 4RRRW507 | RW207CCR,Ø int: 35 | Ø ext: 72 | Alt: 21.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,35,72,21.5,35,72,21,NO
RR28,RODAMIENTO,,Aplicaciones: CITROEN AX 91> | CITROEN C15 93>04 | CITROEN SAXO 01>05 | CITROEN XSARA 98>99 | CITROEN ZX 93> | FIAT QUBO 11> | FIAT TIPO 93> | PEUGEOT 106 95>99 | PEUGEOT 205 88>00,GB 40582 | BA2B446762B | 4RR12094 | PW35720033CS | GB12094 | 548083,Ø int: 35 | Ø ext: 72 | Alt: 33 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,72,33,35,72,33,NO
RR11,RODAMIENTO,,Aplicaciones: CITROEN BERLINGO 98> | CITROEN BX 90> | CITROEN C4 07> | CITROEN PICASSO | CITROEN XANTIA 93>01 | CITROEN XSARA 95>05 | CITROEN XSARA PICASSO 01> | CITROEN ZX 93> | PEUGEOT 205 92>96 | PEUGEOT 206 | PEUGEOT 207 | PEUGEOT 306 95>03 | PEUGEOT 307 01>12 | PEUGEOT 405 91>03 | PEUGEOT 406 96>05 | PEUGEOT HOGGAR 11> | PEUGEOT PARTNER 98>,GB 12163 | BAH-0185D | 4RR12163 | PW42820036CS | GB12875 | 713640180 | 513073,Ø int: 42 | Ø ext: 82 | Alt: 36 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,82,36,42,82,36,NO
RCC72,RODAMIENTO,,Aplicaciones: CITROEN BERLINGO 98> | CITROEN C15 93>04 | PEUGEOT 405 91>03 | PEUGEOT PARTNER 98>,68933,Ø int: 50 | Ø ext: 58 | Alt: 26.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,EXT,50,58,26.5,50,58,26,NO
RCC82,RODAMIENTO,,Aplicaciones: CITROEN BERLINGO 98> | CITROEN C15 93>04 | PEUGEOT 405 91>03 | PEUGEOT PARTNER 98>,68934,Ø int: 50 | Ø ext: 58 | Alt: 25 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,INT,50,58,25,50,58,25,NO
RR08A,RODAMIENTO,,Aplicaciones: CITROEN C3 03> | CITROEN SAXO 01>05 | CITROEN XSARA 92>05 | PEUGEOT 106 99>03 | PEUGEOT 206 98> | PEUGEOT 207 08>,GB 40547 | BAH-0051B | 4RR40547 | PW37720033CS | GB40547S01 | 713650060,Ø int: 37 | Ø ext: 72 | Alt: 33 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,33,37,72,33,NO
RR21,RODAMIENTO,,Aplicaciones: CITROEN C3 03> | CITROEN C4 | CITROEN DS3 | CITROEN SAXO 01>05 | CITROEN XSARA 92>05 | PEUGEOT 106 99>03 | PEUGEOT 206 98> | PEUGEOT 207 08> | PEUGEOT 208,GB 40547 | BAH-0051B | 4RR40547 | PW37720033CS | GB40547S01 | 713650060,Ø int: 37 | Ø ext: 72 | Alt: 33 | ABS: SI,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,33,37,72,33,SI
RR58,RODAMIENTO,,Aplicaciones: CITROEN C4 CACTUS,FC41950 | VKBA6726,Ø int: 25 | Ø ext: 52 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,52,0,25,52,0,NO
RR26,RODAMIENTO,,Aplicaciones: CITROEN JUMPER 99> | CITROEN JUMPER 10> | FIAT DUCATO 02> | FIAT DUCATO 10> | FORD TRANSIT 96>01 | IVECO DAILY 40S.14 07> | IVECO DAILY 60.12 03>05 | IVECO DAILY 35C.14 (CHASIS) 10> | IVECO DAILY 50.13 07> | IVECO DAILY 55C.16 07> | IVECO DAILY 70.12 (CHASIS) 05> | IVECO DAILY 70.13 (CHASIS) 07> | IVECO DAILY 70C.16 07> | MERCEDES BENZ SPRINTER 311 96> | MERCEDES BENZ SPRINTER 312 96> | MERCEDES BENZ SPRINTER 313 96> | MERCEDES BENZ SPRINTER 412 96> | MERCEDES BENZ SPRINTER 413 96> | PEUGEOT BOXER 02> | PEUGEOT BOXER 10> | RENAULT MASTER 99>06 | RENAULT MASTER 06> | SSANG-YONG ISTANA 97>02,FC 40918 S02 | BTH-1132B | 4RR329129 | PW49840048CSHD | FC40918S02 | 713630800 | 516010,Ø int: 49 | Ø ext: 84 | Alt: 48 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,49,84,48,49,84,48,NO
RR81,RODAMIENTO,,Aplicaciones: CITROEN JUMPER 94>06 | FIAT DUCATO 02>06 | PEUGEOT BOXER 94>06,FC 40784 S01 | VKBA3642 | PW42750060CSHD | FC40784S01 | 713640330,Ø int: 42 | Ø ext: 75 | Alt: 60 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,42,75,60,42,75,60,NO
RCC70,RODAMIENTO,,Aplicaciones: CITROEN XSARA 92> | CITROEN ZX 93> | PEUGEOT 205 88>00 | PEUGEOT 306 95>03,47260 | 4RR47260 + 4RR47937,Ø int: 47 | Ø ext: 53 | Alt: 24.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,EXT,47,53,24.5,47,53,24,NO
